panel_id,module,title,role,primary_status,figure_asset_status,primary_source,backup_or_supplement_source,flags,notes
C6,C,Compact projection mechanism,supplement_or_mechanism,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_trajectory_table_observer_confirm_matched_static_n64_c8_k8_v1/compact_mechanism_image_disjoint_fold0_n512_k2_5_10_20_rand8_log_v1/followup_summary/compact_mechanism_promotion_gates.csv,declan/figure4_active_sensing_atlas/figures/panel_C/C6_compact_mechanism_guardrail.png,F006,Do not claim uniqueness.
C7,C,Scale rescue guardrail,supplement_or_inset,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_trajectory_table_observer_confirm_matched_static_n64_c8_k8_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_C/C5_scale_gap_guardrail.png,F011,Shows larger 1x rescue is partly zero-eye failure.
D1,D,Define local edge/gradient/motion axes,main,concept_ready,atlas_asset_generated,declan/figure4_active_sensing_atlas/working_results_draft.md,declan/figure4_active_sensing_atlas/figures/panel_D/D1_local_axis_schematic.png,F007,Cartoon sets up objective dependence.
D2,D,Axis-conditioned observer,main_or_supplement,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_axis_conditioned_matched_static_percandidate_gpu1_n64_c4_k16_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_D/D2_axis_conditioned_accuracy.png,F007,Use carefully: both axes help; preference mixed.
D3,D,Edge-parallel preservation audit,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_parallel_stability_screen_yfix_n256_pop256/stability_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_D/D4_edge_parallel_stability.png,F008,Strong explanatory result.
D4,D,Model objectives versus raw edge geometry,supplement_or_deep_dive_trigger,diagnostic_queued,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_conditional_fixation_objectives_twin_axis_only_n256/paired_session_deltas_vs_raw_edge.csv,declan/figure4_active_sensing_atlas/claim_critical_diagnostics_queue.md,F009,Raw edge remains baseline to beat; objective panels route to residual and nuisance diagnostics before mechanism claims.
D5,D,Axis preference guardrail,supplement_or_inset,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_axis_conditioned_hard_negative_shared_source_gpu1_n128_c4_k16_scales_0p5_1_2_v1/observer_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_D/D3_axis_preference_guardrail.png,F007,Parallel preference flips toward orthogonal at larger hard-negative scales.
E1,E,Free-viewing patch and drift cloud setup,main,concept_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_structure_reviewed_v2_screenfiltered_yfix/backimage_image_fem_windows.csv,declan/figure4_active_sensing_atlas/figures/panel_E/E1_behavior_setup_example.png,F010,Synthetic local patch seeded by a representative high-confidence measured window.
E2,E,Behavioral edge-alignment strength,main,main_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/edge_alignment_distribution_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_E/E2_behavior_alignment_strength.png,F009;F012,Uses unweighted session-mean convention for atlas prose.
E3,E,Endpoint-zone enrichment,supplement_or_main_inset,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/endpoint_zone_enrichment_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_E/E3_parallel_zone_enrichment.png,F012,Compact atlas redraw of the endpoint-zone result; pair with E6-E8 for provenance and null context.
E6,E,Full drift-edge distribution and session diagnostic,supplement_or_provenance,source_ready,atlas_asset_copied,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/edge_alignment_window_and_session_distributions.png,declan/figure4_active_sensing_atlas/figures/panel_E/E6_full_distribution_session_diagnostic.png,F012,Original inspection panel behind the contour-following behavior metric; shows distribution session scatter and cumulative parallel preference.
E7,E,Confidence and signed-delta diagnostic,supplement_or_provenance,source_ready,atlas_asset_copied,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/edge_alignment_confidence_and_signed_delta.png,declan/figure4_active_sensing_atlas/figures/panel_E/E7_confidence_signed_delta_diagnostic.png,F012,Original inspection panel showing stronger alignment in high-confidence image/FEM windows and signed delta structure.
E8,E,Endpoint/null diagnostic,supplement_or_provenance,source_ready,atlas_asset_copied,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/edge_alignment_endpoint_null_diagnostic.png,declan/figure4_active_sensing_atlas/figures/panel_E/E8_endpoint_null_diagnostic.png,F012,Original inspection panel showing why endpoint bins need the transformed uniform-angle null before reading E3.
E4,E,Metric convention guardrail,supplement_or_inset,source_ready,atlas_asset_generated,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_edge_alignment_distribution_inspection/edge_alignment_distribution_summary.csv,declan/figure4_active_sensing_atlas/figures/panel_E/E4_metric_convention_guardrail.png,F012,Compares unweighted atlas metric with weighted headline-style metric.
E5,E,Supported versus not-yet-supported summary,supplement,concept_ready,atlas_asset_generated,declan/figure4_active_sensing_atlas/incomplete_results_flags.md,declan/figure4_active_sensing_atlas/claim_critical_diagnostics_queue.md,F009;F012,Behavior positive; specific V1-twin objective adjudication remains routed through claim-critical diagnostics.
Q1,ALL,Claim-critical diagnostics queue,internal_audit,source_ready,document_artifact,declan/figure4_active_sensing_atlas/claim_critical_diagnostics_queue.md,declan/figure4_active_sensing_atlas/README.md,F003;F004;F005;F007;F008;F009;F012,Consolidates failure modes and promotion gates before canonical runs or main-claim promotion.
